delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
126,This train has been delayed by an earlier broken down train,disruption-reason.e.an earlier broken down train,disruption-reason.m.an earlier broken down train,disruption-reason.e.an earlier broken down train,disruption-reason.m.an earlier broken down train
128,This train has been delayed by an earlier landslip,disruption-reason.e.an earlier landslide,disruption-reason.m.an earlier landslide,disruption-reason.e.an earlier landslide,disruption-reason.m.an earlier landslide
129,This train has been delayed by an earlier line-side fire,disruption-reason.e.an earlier lineside fire,disruption-reason.m.an earlier lineside fire,disruption-reason.e.an earlier lineside fire,disruption-reason.m.an earlier lineside fire
130,This train has been delayed by an earlier operating incident,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
131,This train has been delayed by an earlier problem at a level crossing,disruption-reason.e.an earlier fault on a level crossing,disruption-reason.m.an earlier fault on a level crossing,disruption-reason.e.an earlier fault on a level crossing,disruption-reason.m.an earlier fault on a level crossing
132,This train has been delayed by an earlier problem near the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
133,This train has been delayed by an earlier problem with a river bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
134,This train has been delayed by an earlier problem with line side equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment
135,This train has been delayed by an earlier security alert,disruption-reason.e.an earlier security alert,disruption-reason.m.an earlier security alert,disruption-reason.e.an earlier security alert,disruption-reason.m.an earlier security alert
136,This train has been delayed by an earlier train fault,disruption-reason.e.a fault on a preceding train,disruption-reason.m.a fault on a preceding train,disruption-reason.e.a fault on a preceding train,disruption-reason.m.a fault on a preceding train
137,This train has been delayed by an earlier trespass incident,disruption-reason.e.an earlier trespassing incident,disruption-reason.m.an earlier trespassing incident,disruption-reason.e.an earlier trespassing incident,disruption-reason.m.an earlier trespassing incident
138,This train has been delayed by an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line
139,This train has been delayed by an obstruction on the line earlier,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line,disruption-reason.e.an obstruction on the line,disruption-reason.m.an obstruction on the line
140,This train has been delayed by an operating incident,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.operational problems,disruption-reason.m.operational problems
141,This train has been delayed by an unusually large passenger flow,disruption-reason.e.large numbers of passengers joining the trains,disruption-reason.m.large numbers of passengers joining the trains,disruption-reason.e.large numbers of passengers joining the trains,disruption-reason.m.large numbers of passengers joining the trains
142,This train has been delayed by an unusually large passenger flow earlier,disruption-reason.e.large numbers of passengers joining the trains,disruption-reason.m.large numbers of passengers joining the trains,disruption-reason.e.large numbers of passengers joining the trains,disruption-reason.m.large numbers of passengers joining the trains
143,This train has been delayed by animals on the line,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line,disruption-reason.e.animals on the railway line,disruption-reason.m.animals on the railway line
144,This train has been delayed by animals on the line earlier,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line,disruption-reason.e.earlier reports of animals on the line,disruption-reason.m.earlier reports of animals on the line
145,This train has been delayed by congestion caused by earlier delays,disruption-reason.e.congestion,disruption-reason.m.congestion,disruption-reason.e.congestion,disruption-reason.m.congestion
146,This train has been delayed by disruptive passengers,disruption-reason.e.police attending a disturbance on this train,disruption-reason.m.police attending a disturbance on this train,disruption-reason.e.police attending a disturbance on this train,disruption-reason.m.police attending a disturbance on this train
147,This train has been delayed by disruptive passengers earlier,disruption-reason.e.police attending a disturbance on a preceding train,disruption-reason.m.police attending a disturbance on a preceding train,disruption-reason.e.police attending a disturbance on a preceding train,disruption-reason.m.police attending a disturbance on a preceding train
148,This train has been delayed by earlier electrical supply problems,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem,disruption-reason.e.an earlier electrical power supply problem,disruption-reason.m.an earlier electrical power supply problem
149,This train has been delayed by earlier emergency engineering works,disruption-reason.e.emergency engineering work,disruption-reason.m.emergency engineering work,disruption-reason.e.emergency engineering work,disruption-reason.m.emergency engineering work
150,This train has been delayed by earlier industrial action,disruption-reason.e.industrial action,disruption-reason.m.industrial action,disruption-reason.e.industrial action,disruption-reason.m.industrial action
151,This train has been delayed by earlier overhead wire problems,disruption-reason.e.overhead electric line problems,disruption-reason.m.overhead electric line problems,disruption-reason.e.overhead electric line problems,disruption-reason.m.overhead electric line problems
152,This train has been delayed by earlier over-running engineering works,disruption-reason.e.overrunning engineering work,disruption-reason.m.overrunning engineering work,disruption-reason.e.overrunning engineering work,disruption-reason.m.overrunning engineering work
153,This train has been delayed by earlier signalling problems,disruption-reason.e.an earlier fault with the signalling equipment,disruption-reason.m.an earlier fault with the signalling equipment,disruption-reason.e.an earlier fault with the signalling equipment,disruption-reason.m.an earlier fault with the signalling equipment
154,This train has been delayed by earlier vandalism,disruption-reason.e.earlier vandalism,disruption-reason.m.earlier vandalism,disruption-reason.e.earlier vandalism,disruption-reason.m.earlier vandalism
155,This train has been delayed by electrical supply problems,disruption-reason.e.an electrical power supply problem,disruption-reason.m.an electrical power supply problem,disruption-reason.e.an electrical power supply problem,disruption-reason.m.an electrical power supply problem
156,This train has been delayed by emergency engineering works,disruption-reason.e.emergency engineering work,disruption-reason.m.emergency engineering work,disruption-reason.e.emergency engineering work,disruption-reason.m.emergency engineering work
157,This train has been delayed by emergency services dealing with a prior incident,"disruption-reason.m.emergency services attending an incident adjacent,disruption-reason.e.to the railway line",,"disruption-reason.m.emergency services attending an incident adjacent,disruption-reason.e.to the railway line",
158,This train has been delayed by emergency services dealing with an incident,"disruption-reason.m.emergency services attending an incident adjacent,disruption-reason.e.to the railway line",,"disruption-reason.m.emergency services attending an incident adjacent,disruption-reason.e.to the railway line",
159,This train has been delayed by fire alarms sounding at a station,,,,
160,This train has been delayed by fire alarms sounding earlier at a station,,,,
161,This train has been delayed by flooding,disruption-reason.e.flooding on the line,disruption-reason.m.flooding on the line,disruption-reason.e.flooding on the line,disruption-reason.m.flooding on the line
162,This train has been delayed by flooding earlier,disruption-reason.e.flooding on the line,disruption-reason.m.flooding on the line,disruption-reason.e.flooding on the line,disruption-reason.m.flooding on the line
163,This train has been delayed by fog,disruption-reason.e.adverse weather conditions,disruption-reason.m.adverse weather conditions,disruption-reason.e.adverse weather conditions,disruption-reason.m.adverse weather conditions
164,This train has been delayed by fog earlier,disruption-reason.e.adverse weather conditions,disruption-reason.m.adverse weather conditions,disruption-reason.e.adverse weather conditions,disruption-reason.m.adverse weather conditions
165,This train has been delayed by high winds,disruption-reason.e.high winds,disruption-reason.m.high winds,disruption-reason.e.high winds,disruption-reason.m.high winds
166,This train has been delayed by high winds earlier,disruption-reason.e.high winds,disruption-reason.m.high winds,disruption-reason.e.high winds,disruption-reason.m.high winds
167,This train has been delayed by industrial action,disruption-reason.e.industrial action,disruption-reason.m.industrial action,disruption-reason.e.industrial action,disruption-reason.m.industrial action
168,This train has been delayed by lightning having damaged equipment,disruption-reason.e.a lightning strike affecting the signalling equipment,disruption-reason.m.a lightning strike affecting the signalling equipment,disruption-reason.e.a lightning strike affecting the signalling equipment,disruption-reason.m.a lightning strike affecting the signalling equipment
169,This train has been delayed by overhead wire problems,disruption-reason.e.overhead electric line problems,disruption-reason.m.overhead electric line problems,disruption-reason.e.overhead electric line problems,disruption-reason.m.overhead electric line problems
170,This train has been delayed by over-running engineering works,disruption-reason.e.overrunning engineering work,disruption-reason.m.overrunning engineering work,disruption-reason.e.overrunning engineering work,disruption-reason.m.overrunning engineering work
171,This train has been delayed by passengers transferring between trains,disruption-reason.e.being held awaiting a late running connection,disruption-reason.m.being held awaiting a late running connection,disruption-reason.e.being held awaiting a late running connection,disruption-reason.m.being held awaiting a late running connection
172,This train has been delayed by passengers transferring between trains earlier,disruption-reason.e.being held awaiting a late running connection,disruption-reason.m.being held awaiting a late running connection,disruption-reason.e.being held awaiting a late running connection,disruption-reason.m.being held awaiting a late running connection
173,This train has been delayed by poor rail conditions,disruption-reason.e.poor rail conditions,disruption-reason.m.poor rail conditions,disruption-reason.e.poor rail conditions,disruption-reason.m.poor rail conditions
174,This train has been delayed by poor rail conditions earlier,disruption-reason.e.poor rail conditions,disruption-reason.m.poor rail conditions,disruption-reason.e.poor rail conditions,disruption-reason.m.poor rail conditions
175,This train has been delayed by poor weather conditions,disruption-reason.e.severe weather conditions,disruption-reason.m.severe weather conditions,disruption-reason.e.severe weather conditions,disruption-reason.m.severe weather conditions
176,This train has been delayed by poor weather conditions earlier,disruption-reason.e.severe weather conditions,disruption-reason.m.severe weather conditions,disruption-reason.e.severe weather conditions,disruption-reason.m.severe weather conditions
177,This train has been delayed by safety checks being made,disruption-reason.e.additional safety duties being carried out on board this train,disruption-reason.m.additional safety duties being carried out on board this train,disruption-reason.e.additional safety duties being carried out on board this train,disruption-reason.m.additional safety duties being carried out on board this train
178,This train has been delayed by safety checks having been made earlier,disruption-reason.e.additional safety duties being carried out on board this train,disruption-reason.m.additional safety duties being carried out on board this train,disruption-reason.e.additional safety duties being carried out on board this train,disruption-reason.m.additional safety duties being carried out on board this train
179,This train has been delayed by signalling problems,disruption-reason.e.a temporary fault with the signalling equipment,disruption-reason.m.a temporary fault with the signalling equipment,disruption-reason.e.a temporary fault with the signalling equipment,disruption-reason.m.a temporary fault with the signalling equipment
180,This train has been delayed by snow,disruption-reason.e.snow,disruption-reason.m.snow,disruption-reason.e.snow,disruption-reason.m.snow
181,This train has been delayed by snow earlier,disruption-reason.e.snow,disruption-reason.m.snow,disruption-reason.e.snow,disruption-reason.m.snow
182,This train has been delayed by speed restrictions having been imposed,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
183,This train has been delayed by train crew having been unavailable earlier,disruption-reason.e.a temporary shortage of train crews,disruption-reason.m.a temporary shortage of train crews,disruption-reason.e.a temporary shortage of train crews,disruption-reason.m.a temporary shortage of train crews
184,This train has been delayed by vandalism,disruption-reason.e.vandalism,disruption-reason.m.vandalism,disruption-reason.e.vandalism,disruption-reason.m.vandalism
185,This train has been delayed by waiting earlier for a train crew member,disruption-reason.e.awaiting a member of the train crew,disruption-reason.m.awaiting a member of the train crew,disruption-reason.e.awaiting a member of the train crew,disruption-reason.m.awaiting a member of the train crew
186,This train has been delayed by waiting for a train crew member,disruption-reason.e.awaiting a member of the train crew,disruption-reason.m.awaiting a member of the train crew,disruption-reason.e.awaiting a member of the train crew,disruption-reason.m.awaiting a member of the train crew
187,This train has been delayed by engineering works,disruption-reason.e.engineering work,disruption-reason.m.engineering work,disruption-reason.e.engineering work,disruption-reason.m.engineering work
501,This train has been delayed by a broken down train,disruption-reason.e.a broken down train,disruption-reason.m.a broken down train,disruption-reason.e.a broken down train,disruption-reason.m.a broken down train
502,This train has been delayed by a broken windscreen on the train,disruption-reason.e.additional maintenance requirements at the depot,disruption-reason.m.additional maintenance requirements at the depot,disruption-reason.e.additional maintenance requirements at the depot,disruption-reason.m.additional maintenance requirements at the depot
503,This train has been delayed by a shortage of trains because of accident damage,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains
504,This train has been delayed by a shortage of trains because of extra safety inspections,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains
505,This train has been delayed by a shortage of trains because of vandalism,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains
506,This train has been delayed by a shortage of trains following damage by snow and ice,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains
507,This train has been delayed by more trains than usual needing repairs at the same time,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains,disruption-reason.e.a shortage of serviceable trains,disruption-reason.m.a shortage of serviceable trains
508,This train has been delayed by the train for this service having broken down,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train
509,This train has been delayed by this train breaking down,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train
510,This train has been delayed by a collision between trains,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line
511,This train has been delayed by a collision with the buffers at a station,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line
512,This train has been delayed by a derailed train,disruption-reason.e.a derailment,disruption-reason.m.a derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment
513,This train has been delayed by a derailment within the depot,disruption-reason.e.a derailment,disruption-reason.m.a derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment
514,This train has been delayed by a low speed derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment
515,This train has been delayed by a train being involved in an accident,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line
516,This train has been delayed by trains being involved in an accident,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line,disruption-reason.e.an incident on the line,disruption-reason.m.an incident on the line
517,This train has been delayed by a fire at a station,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
518,This train has been delayed by a fire at a station earlier today,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
519,This train has been delayed by a landslip,disruption-reason.e.a landslide,disruption-reason.m.a landslide,disruption-reason.e.a landslide,disruption-reason.m.a landslide
520,This train has been delayed by a fire next to the track,disruption-reason.e.a lineside fire,disruption-reason.m.a lineside fire,disruption-reason.e.a lineside fire,disruption-reason.m.a lineside fire
521,This train has been delayed by a fire on a train,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
522,This train has been delayed by a member of on train staff being taken ill,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness
523,This train has been delayed by a shortage of on train staff,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage
524,This train has been delayed by a shortage of train conductors,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage
525,This train has been delayed by a shortage of train crew,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage
526,This train has been delayed by a shortage of train drivers,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage
527,This train has been delayed by a shortage of train guards,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage
528,This train has been delayed by a shortage of train managers,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage
529,This train has been delayed by severe weather preventing train crew getting to work,"disruption-reason.m.awaiting a member of train crew,disruption-reason.e.who in turn has been delayed by the current disruption",,"disruption-reason.m.awaiting a member of train crew,disruption-reason.e.who in turn has been delayed by the current disruption",
530,This train has been delayed by the train conductor being taken ill,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness
531,This train has been delayed by the train driver being taken ill,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness
532,This train has been delayed by the train guard being taken ill,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness
533,This train has been delayed by the train manager being taken ill,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness,disruption-reason.e.staff sickness,disruption-reason.m.staff sickness
534,This train has been delayed by a passenger being taken ill at a station,disruption-reason.e.passenger illness,disruption-reason.m.passenger illness,disruption-reason.e.passenger illness,disruption-reason.m.passenger illness
535,This train has been delayed by a passenger being taken ill on a train,disruption-reason.e.a passenger having been taken ill on a preceding train,disruption-reason.m.a passenger having been taken ill on a preceding train,disruption-reason.e.a passenger having been taken ill on a preceding train,disruption-reason.m.a passenger having been taken ill on a preceding train
536,This train has been delayed by a passenger being taken ill on this train,disruption-reason.e.a passenger having been taken ill on this train,disruption-reason.m.a passenger having been taken ill on this train,disruption-reason.e.a passenger having been taken ill on this train,disruption-reason.m.a passenger having been taken ill on this train
537,This train has been delayed by a passenger being taken ill at a station earlier today,disruption-reason.e.passenger illness,disruption-reason.m.passenger illness,disruption-reason.e.passenger illness,disruption-reason.m.passenger illness
538,This train has been delayed by a passenger being taken ill on a train earlier today,disruption-reason.e.a passenger having been taken ill on a preceding train,disruption-reason.m.a passenger having been taken ill on a preceding train,disruption-reason.e.a passenger having been taken ill on a preceding train,disruption-reason.m.a passenger having been taken ill on a preceding train
539,This train has been delayed by a passenger being taken ill on this train earlier in its journey,disruption-reason.e.a passenger having been taken ill on this train,disruption-reason.m.a passenger having been taken ill on this train,disruption-reason.e.a passenger having been taken ill on this train,disruption-reason.m.a passenger having been taken ill on this train
540,This train has been delayed by a person being hit by a train,disruption-reason.e.a suspected fatality,disruption-reason.m.a suspected fatality,disruption-reason.e.a suspected fatality,disruption-reason.m.a suspected fatality
541,This train has been delayed by a person being hit by a train earlier today,disruption-reason.e.an earlier fatality,disruption-reason.m.an earlier fatality,disruption-reason.e.an earlier fatality,disruption-reason.m.an earlier fatality
542,This train has been delayed by a collision at a level crossing,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing
543,This train has been delayed by a fault with barriers at a level crossing,disruption-reason.e.a failure of level crossing apparatus-2,disruption-reason.m.a failure of level crossing apparatus-2,disruption-reason.e.a failure of level crossing apparatus-2,disruption-reason.m.a failure of level crossing apparatus-2
544,This train has been delayed by a road accident at a level crossing,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing,disruption-reason.e.an accident on a level crossing,disruption-reason.m.an accident on a level crossing
545,This train has been delayed by a road vehicle colliding with level crossing barriers,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
546,This train has been delayed by a road vehicle damaging track at a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing,disruption-reason.e.a road vehicle damaging a level crossing,disruption-reason.m.a road vehicle damaging a level crossing
547,This train has been delayed by a problem currently under investigation,disruption-reason.e.a currently unidentified reason which is under investigation,disruption-reason.m.a currently unidentified reason which is under investigation,disruption-reason.e.a currently unidentified reason which is under investigation,disruption-reason.m.a currently unidentified reason which is under investigation
548,This train has been delayed by a burst water main near the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
549,This train has been delayed by a chemical spillage near the railway,disruption-reason.e.a chemical spillage,disruption-reason.m.a chemical spillage,disruption-reason.e.a chemical spillage,disruption-reason.m.a chemical spillage
550,This train has been delayed by a fire near the railway involving gas cylinders,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
551,This train has been delayed by a fire near the railway suspected to involve gas cylinders,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
552,This train has been delayed by a fire on property near the railway,disruption-reason.e.a fire,disruption-reason.m.a fire,disruption-reason.e.a fire,disruption-reason.m.a fire
553,This train has been delayed by a gas leak near the railway,disruption-reason.e.a gas leak in the area,disruption-reason.m.a gas leak in the area,disruption-reason.e.a gas leak in the area,disruption-reason.m.a gas leak in the area
554,This train has been delayed by a road accident near the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway,disruption-reason.e.a problem on property adjacent to the railway,disruption-reason.m.a problem on property adjacent to the railway
555,This train has been delayed by a wartime bomb near the railway,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line,disruption-reason.e.police activity on the line,disruption-reason.m.police activity on the line
556,This train has been delayed by ambulance service dealing with an incident near the railway,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
557,This train has been delayed by emergency services dealing with an incident near the railway,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
558,This train has been delayed by fire brigade dealing with an incident near the railway,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
559,This train has been delayed by police dealing with an incident near the railway,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services,disruption-reason.e.the advice of the emergency services,disruption-reason.m.the advice of the emergency services
560,This train has been delayed by a boat colliding with a bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge,disruption-reason.e.suspected damage to a railway bridge,disruption-reason.m.suspected damage to a railway bridge
561,This train has been delayed by a fault with a swing bridge over a river,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment
562,This train has been delayed by a problem with a river bridge,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment
563,This train has been delayed by a problem with line-side equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment,disruption-reason.e.a fault on trackside equipment,disruption-reason.m.a fault on trackside equipment
564,This train has been delayed by a security alert at a station,disruption-reason.e.a security alert,disruption-reason.m.a security alert,disruption-reason.e.a security alert,disruption-reason.m.a security alert
565,This train has been delayed by a security alert on another train,disruption-reason.e.a security alert,disruption-reason.m.a security alert,disruption-reason.e.a security alert,disruption-reason.m.a security alert
566,This train has been delayed by a security alert on this train,disruption-reason.e.a security alert,disruption-reason.m.a security alert,disruption-reason.e.a security alert,disruption-reason.m.a security alert
567,This train has been delayed by a train derailment earlier today,disruption-reason.e.a derailment,disruption-reason.m.a derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment
568,This train has been delayed by a train derailment yesterday,disruption-reason.e.a derailment,disruption-reason.m.a derailment,disruption-reason.e.a derailment,disruption-reason.m.a derailment
569,This train has been delayed by a fault occurring when attaching a part of a train,disruption-reason.e.a fault that has occurred whilst attaching coaches to this train,disruption-reason.m.a fault that has occurred whilst attaching coaches to this train,disruption-reason.e.a fault that has occurred whilst attaching coaches to this train,disruption-reason.m.a fault that has occurred whilst attaching coaches to this train
570,This train has been delayed by a fault occurring when attaching a part of this train,disruption-reason.e.an earlier fault that occurred whilst attaching coaches to this train,disruption-reason.m.an earlier fault that occurred whilst attaching coaches to this train,disruption-reason.e.an earlier fault that occurred whilst attaching coaches to this train,disruption-reason.m.an earlier fault that occurred whilst attaching coaches to this train
571,This train has been delayed by a fault occurring when detaching a part of a train,disruption-reason.e.a fault that has occurred whilst detaching coaches from this train,disruption-reason.m.a fault that has occurred whilst detaching coaches from this train,disruption-reason.e.a fault that has occurred whilst detaching coaches from this train,disruption-reason.m.a fault that has occurred whilst detaching coaches from this train
572,This train has been delayed by a fault occurring when detaching a part of this train,disruption-reason.e.an earlier fault that occurred whilst detaching coaches from this train,disruption-reason.m.an earlier fault that occurred whilst detaching coaches from this train,disruption-reason.e.an earlier fault that occurred whilst detaching coaches from this train,disruption-reason.m.an earlier fault that occurred whilst detaching coaches from this train
573,This train has been delayed by a fault on a train in front of this one,disruption-reason.e.a fault on a preceding train,disruption-reason.m.a fault on a preceding train,disruption-reason.e.a fault on a preceding train,disruption-reason.m.a fault on a preceding train
574,This train has been delayed by a fault on this train,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train,disruption-reason.e.a fault on the train,disruption-reason.m.a fault on the train
575,This train has been delayed by this train being late from the depot,disruption-reason.e.the late arrival of the coaches and train crew to form this service,disruption-reason.m.the late arrival of the coaches and train crew to form this service,disruption-reason.e.the late arrival of the coaches and train crew to form this service,disruption-reason.m.the late arrival of the coaches and train crew to form this service
576,This train has been delayed by trespassers on the railway,disruption-reason.e.trespassers on the line,disruption-reason.m.trespassers on the line,disruption-reason.e.trespassers on the line,disruption-reason.m.trespassers on the line
577,This train has been delayed by a bus colliding with a bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge
578,This train has been delayed by a lorry colliding with a bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge
579,This train has been delayed by a road vehicle colliding with a bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge
580,This train has been delayed by a bus colliding with a bridge earlier on this train's journey,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge
581,This train has been delayed by a bus colliding with a bridge earlier today,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge
582,This train has been delayed by a lorry colliding with a bridge earlier on this train's journey,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge
583,This train has been delayed by a lorry colliding with a bridge earlier today,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge,disruption-reason.e.a road vehicle striking a railway bridge,disruption-reason.m.a road vehicle striking a railway bridge
584,This train has been delayed by a road vehicle colliding with a bridge earlier on this train's journey,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge,disruption-reason.e.an earlier road vehicle striking a railway bridge,disruption-reason.m.an earlier road vehicle striking a railway bridge
