delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
834,This train has been delayed by the fire alarm sounding in a signalbox,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties
835,This train has been delayed by the fire alarm sounding in the signalling centre,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties
836,This train has been delayed by forecasted heavy snow,disruption-reason.e.snow,disruption-reason.m.snow,disruption-reason.e.snow,disruption-reason.m.snow
837,This train has been delayed by heavy snow,disruption-reason.e.snow,disruption-reason.m.snow,disruption-reason.e.snow,disruption-reason.m.snow
838,This train has been delayed by heavy snow earlier in this train's journey,disruption-reason.e.snow,disruption-reason.m.snow,disruption-reason.e.snow,disruption-reason.m.snow
839,This train has been delayed by heavy snow earlier today,disruption-reason.e.snow,disruption-reason.m.snow,disruption-reason.e.snow,disruption-reason.m.snow
840,This train has been delayed by heavy snow over recent days,disruption-reason.e.snow,disruption-reason.m.snow,disruption-reason.e.snow,disruption-reason.m.snow
841,This train has been delayed by a speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
842,This train has been delayed by a speed restriction because of fog,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
843,This train has been delayed by a speed restriction because of fog earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
844,This train has been delayed by a speed restriction because of fog earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
845,This train has been delayed by a speed restriction because of heavy rain,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
846,This train has been delayed by a speed restriction because of heavy rain earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
847,This train has been delayed by a speed restriction because of heavy rain earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
848,This train has been delayed by a speed restriction because of high track temperatures,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
849,This train has been delayed by a speed restriction because of high track temperatures earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
850,This train has been delayed by a speed restriction because of high track temperatures earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
851,This train has been delayed by a speed restriction because of high winds,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
852,This train has been delayed by a speed restriction because of high winds earlier on this train's journey,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
853,This train has been delayed by a speed restriction because of high winds earlier today,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
854,This train has been delayed by a speed restriction because of severe weather,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction,disruption-reason.e.a temporary speed restriction,disruption-reason.m.a temporary speed restriction
